LAST_UPDATE_DT,NAME,INDUSTRY_SECTOR,INDUSTRY_GROUP,INDUSTRY_SUBGROUP,PX_LAST,CHG_NET_YTD,EQY_DVD_YLD_IND,EQY_BETA,PE_RATIO,CUR_MKT_CAP,BOARD_SIZE,PCT_WOMEN_ON_BOARD,NUMBER_OF_WOMEN_ON_BOARD,BOARD_AVERAGE_TENURE,BOARD_AVERAGE_AGE,NUMBER_OF_DIRECTORS_ON_BOARD,PERCENTAGE_OF_FEMALE_EXECUTIVES,FEMALE_CHAIRPERSON_OR_EQUIVALENT,FEMALE_CEO_OR_EQUIVALENT,AVERAGE_BOD_TOTAL_COMPENSATION
NA,SCORPIO BULKERS INC,Industrial,Transportation,Transport-Marine,NA,NA,NA,NA,NA,NA,7,0,0,5,57.5713996887207,8,16.66670036315918,FALSE,FALSE,NA
2019-11-18,AARON'S INC,"Consumer, Non-cyclical",Commercial Services,Rental Auto/Equipment,58.15,16.1,0.275245134050785,0.9252642393112183,17.55377417481533,3904875890.7,9,22.222200393676758,2,6.108329772949219,59.11109924316406,10,0,FALSE,FALSE,220714.2857142857
2019-11-18,APPLIED OPTOELECTRONICS INC,Industrial,Electronics,Electronic Compo-Misc,10.54,-4.89,NA,1.3405003547668457,NA,211978825.21999997,7,0,0,12.440500259399414,66.14289855957031,7,0,FALSE,FALSE,165751
2019-11-18,AAON INC,Industrial,Building Materials,Bldg Prod-Air&Heating,50.25,15.19,0.6364359444062104,1.1963269710540771,45.1438268848783,2617903445.25,7,14.285699844360352,1,10.36460018157959,63.714298248291016,8,0,NA,FALSE,204672
2019-11-18,AMERICAN ASSETS TRUST INC,Financial,REITS,REITS-Diversified,46.96,6.790002,2.555366370706379,0.6137749552726746,61.368693189816476,2815579405.12,5,0,0,7.233329772949219,69.80000305175781,5,0,FALSE,FALSE,110731
2019-11-18,ATLAS AIR WORLDWIDE HOLDINGS,Industrial,Transportation,Transport-Air Freight,25.05,-17.14,NA,1.641701579093933,NA,648065443.8000001,10,10,1,6.796299934387207,67.5,9,0,FALSE,FALSE,190230.72727272726
2019-11-18,AXON ENTERPRISE INC,Industrial,Miscellaneous Manufactur,Firearms&Ammunition,67.72,23.97,NA,0.9310503602027893,233.01104917146586,4018570149.7999997,8,12.5,1,10.6875,54.5,8,0,FALSE,FALSE,247353
2019-11-18,AMERIS BANCORP,Financial,Banks,Commer Banks-Southern US,43.09,11.42,1.3924344948755114,1.1460769176483154,11.264970765084156,3001690464.7700005,9,11.111100196838379,1,5.8910298347473145,62,13,28.571399688720703,FALSE,FALSE,105109.5
2019-11-18,ABEONA THERAPEUTICS INC,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,2.23,-4.91,NA,1.413842797279358,NA,114074300.85,6,0,0,8.166669845581055,59.66669845581055,7,0,FALSE,FALSE,299370.6
2019-11-18,ASBURY AUTOMOTIVE GROUP,"Consumer, Cyclical",Retail,Retail-Automobile,110.35,43.69,NA,0.8926917314529419,11.63330907653464,2130056145.1499999,9,11.111100196838379,1,8.416669845581055,62.222198486328125,11,0,FALSE,FALSE,227097
2019-11-18,ABM INDUSTRIES INC,"Consumer, Non-cyclical",Commercial Services,Building-Maint&Service,38.39,6.279999,1.8754884829649112,0.9640116095542908,19.849527954355104,2549691198.56,12,33.33330154418945,4,4.841670036315918,63.91669845581055,10,14.285699844360352,FALSE,FALSE,216605.54545454544
2019-11-18,ALLEGIANCE BANCSHARES INC,Financial,Banks,Commer Banks-Central US,34.47,2.100001,NA,0.9647746682167053,14.329006456035321,717341485.41,18,5.555560111999512,1,7.302080154418945,67.11109924316406,16,20,FALSE,FALSE,99391.1875
2019-11-18,ASSOCIATED CAPITAL GROUP - A,Financial,Diversified Finan Serv,Invest Mgmnt/Advis Serv,35.46,0.2300005,0.5643340941880143,0.6222258806228638,NA,797465719.98,8,0,0,3.111109972000122,67,9,0,FALSE,FALSE,92650.16666666667
2019-11-18,ARCOSA INC,Industrial,Engineering&Construction,Building-Heavy Construct,38.28,10.59,0.5224660474927697,NA,16.10313358210048,1852375860.7200003,9,11.111100196838379,1,NA,63.555599212646484,NA,33.33330154418945,FALSE,FALSE,NA
2019-11-18,ACADIA PHARMACEUTICALS INC,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,45.07,28.9,NA,1.327195644378662,NA,6941927572.34,7,14.285699844360352,1,5.642859935760498,57.5713996887207,7,0,FALSE,FALSE,420310.6666666667
2019-11-18,ATLANTIC CAPITAL BANCSHARES,Financial,Banks,Commer Banks-Southern US,18.65,2.279999,NA,0.7422743439674377,16.044501010442495,408217951.29999995,9,33.33330154418945,3,NA,64.11109924316406,NA,14.285699844360352,FALSE,FALSE,NA
2019-11-18,ACCO BRANDS CORP,"Consumer, Non-cyclical",Household Products/Wares,Office Supplies&Forms,9.4,2.62,2.765957345353796,0.9565037488937378,8.997643018049152,911674369.0000001,10,20,2,7.833330154418945,62,10,18.181800842285156,FALSE,FALSE,207937.44444444444
2019-11-18,ACER THERAPEUTICS INC,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,3.28,-16.84,NA,1.2514429092407227,NA,33112177.279999997,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-11-18,ACHILLION PHARMACEUTICALS,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,6.26,4.67,NA,1.6106044054031372,NA,876692010.22,8,12.5,1,11.4375,60.25,8,16.66670036315918,TRUE,FALSE,132477.25
2019-11-18,ACACIA COMMUNICATIONS INC,Communications,Telecommunications,Telecom Eq Fiber Optics,67.01,29.01,NA,1.0684378147125244,54.60469019823472,2765389922.1700006,8,0,0,6.010419845581055,56.25,8,0,FALSE,FALSE,251403.66666666666
2019-11-18,ACI WORLDWIDE INC,Technology,Software,Enterprise Software/Serv,33.7,6.03,NA,1.138767123222351,37.737159862152375,3895674336.5000005,8,25,2,5.489580154418945,63.5,8,0,FALSE,FALSE,242898.6
