LAST_UPDATE_DT,NAME,INDUSTRY_SECTOR,INDUSTRY_GROUP,INDUSTRY_SUBGROUP,PX_LAST,CHG_NET_YTD,EQY_DVD_YLD_IND,EQY_BETA,PE_RATIO,CUR_MKT_CAP,BOARD_SIZE,PCT_WOMEN_ON_BOARD,NUMBER_OF_WOMEN_ON_BOARD,BOARD_AVERAGE_TENURE,BOARD_AVERAGE_AGE,NUMBER_OF_DIRECTORS_ON_BOARD,PERCENTAGE_OF_FEMALE_EXECUTIVES,FEMALE_CHAIRPERSON_OR_EQUIVALENT,FEMALE_CEO_OR_EQUIVALENT,AVERAGE_BOD_TOTAL_COMPENSATION
2019-11-18,AGILENT TECHNOLOGIES INC,Industrial,Electronics,Electronic Measur Instr,77.94,10.48,0.841673105106251,1.110929250717163,28.108802209972907,24119910823.32,10,20,2,7.5,64.19999694824219,11,0,FALSE,FALSE,312225.1111111111
2019-11-18,AMERICAN AIRLINES GROUP INC,"Consumer, Cyclical",Airlines,Airlines,28.6,-3.510001,1.3986014194421834,1.260572910308838,5.947578208878471,12528457970.6,12,16.66670036315918,2,6.599999904632568,64,10,33.33330154418945,FALSE,FALSE,309744.5833333333
2019-11-18,ADVANCE AUTO PARTS INC,"Consumer, Cyclical",Retail,Retail-Auto Parts,163.67,6.209993,0.14664548126333984,0.9265693426132202,21.61743339222471,11335685343.319998,10,20,2,3.7651500701904297,59.5,11,0,FALSE,FALSE,206226.83333333334
2019-11-18,APPLE INC,Technology,Computers,Computers,267.1,109.36,1.1531261414099792,1.064979910850525,22.530905223046307,1186796081500,8,25,2,10.714300155639648,65.125,7,40,FALSE,FALSE,404575
2019-11-18,ABBVIE INC,"Consumer, Non-cyclical",Pharmaceuticals,Medical-Drugs,88.73,-3.460002,5.319508385204159,1.1571086645126343,11.434213949938119,131215797001.56999,11,27.2726993560791,3,5.803030014038086,63.90909957885742,11,18.181800842285156,FALSE,FALSE,330365.9
2019-11-18,AMERISOURCEBERGEN CORP,"Consumer, Non-cyclical",Pharmaceuticals,Medical-Whsle Drug Dist,87.77,13.37,1.8229463641812211,1.2178066968917847,13.818823774024738,18284729222.769997,10,30,3,10.1943998336792,63.900001525878906,9,28.571399688720703,FALSE,FALSE,216745.88888888888
2019-11-18,ABIOMED INC,"Consumer, Non-cyclical",Healthcare-Products,Medical Products,178.09,-146.95,NA,1.4955334663391113,40.763288259534285,8041673183.719999,7,28.571399688720703,2,9.30951976776123,64.42859649658203,7,0,FALSE,FALSE,268232.4285714286
2019-11-18,ABBOTT LABORATORIES,"Consumer, Non-cyclical",Healthcare-Products,Medical Products,84.26,11.93,1.5192877998691638,1.0405350923538208,38.30515475547186,149010077703.30002,13,38.46149826049805,5,9.541669845581055,63.76919937133789,14,5.263160228729248,FALSE,FALSE,303409.5
2019-11-18,ACCENTURE PLC-CL A,Technology,Computers,Computer Services,198.02,57.01001,1.6161616402443009,1.0171124935150146,26.904891884845235,125945206539.14001,12,33.33330154418945,4,4.277780055999756,59.66669845581055,12,15.384599685668945,FALSE,FALSE,298800.25
2019-11-18,ADOBE INC,Technology,Software,Electronic Forms,297.16,70.91999,NA,1.0889922380447388,53.34151938999198,143848799450.44,11,18.181800842285156,2,12.90149974822998,64.18180084228516,11,20,FALSE,FALSE,346426.4
